"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
31,2021-06-07,6.1105,"1_before watering","no",4.46794,2,"ambient","control","yes",56.8749999999998,1,NA,"no",116,116.833333333333
33,2021-04-29,6.2685,"2_after watering","no",3.8724,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
33,2021-05-03,5.92733333333333,"1_before watering","no",3.8724,2,"ambient","drought","yes",336.666666666667,4,NA,"yes",84.1666666666668,NA
33,2021-05-03,6.264,"2_after watering","no",3.8724,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
33,2021-05-06,6.0115,"1_before watering","no",3.8724,2,"ambient","drought","yes",252.5,3,84.1666666666668,"no",84.1666666666668,NA
33,2021-05-06,6.3345,"2_after watering","no",3.8724,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
33,2021-05-07,6.277,"1_before watering","no",3.8724,2,"ambient","drought","yes",57.5000000000001,1,57.5000000000001,"no",84.1666666666668,NA
33,2021-05-10,5.832,"1_before watering","no",3.8724,2,"ambient","drought","yes",445,3,148.333333333333,"no",84.1666666666668,NA
33,2021-05-10,6.22,"2_after watering","no",3.8724,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
33,2021-05-12,5.8785,"1_before watering","no",3.8724,2,"ambient","drought","yes",341.5,2,170.75,"no",84.1666666666668,NA
33,2021-05-12,6.3015,"2_after watering","no",3.8724,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
33,2021-05-17,5.6115,"1_before watering","no",3.8724,2,"ambient","drought","yes",690,5,138,"no",84.1666666666668,NA
33,2021-05-20,5.247,"1_before watering","no",3.8724,2,"ambient","drought","yes",364.500000000001,3,121.5,"no",84.1666666666668,NA
33,2021-05-24,4.9949,"1_before watering","no",3.8724,2,"ambient","drought","yes",252.1,4,63.0249999999999,"no",84.1666666666668,NA
33,2021-05-27,4.893,"1_before watering","no",3.8724,2,"ambient","drought","yes",101.900000000001,3,33.9666666666668,"no",84.1666666666668,NA
35,2021-04-30,6.618,"2_after watering","no",4.03387,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
35,2021-05-04,6.413,"1_before watering","no",4.03387,1,"elevated","drought","yes",205,4,51.25,"no",NA,NA
35,2021-05-04,6.618,"2_after watering","no",4.03387,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
35,2021-05-07,6.492,"1_before watering","no",4.03387,1,"elevated","drought","yes",126,3,42.0000000000001,"no",NA,NA
35,2021-05-07,6.664,"2_after watering","no",4.03387,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
35,2021-05-10,6.5025,"1_before watering","no",4.03387,1,"elevated","drought","yes",161.499999999999,3,53.8333333333331,"no",NA,NA
35,2021-05-10,6.7015,"2_after watering","no",4.03387,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
35,2021-05-13,6.4855,"1_before watering","no",4.03387,1,"elevated","drought","yes",216,3,72.0000000000001,"no",NA,NA
35,2021-05-13,6.6945,"2_after watering","no",4.03387,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
35,2021-05-17,6.5375,"1_before watering","no",4.03387,1,"elevated","drought","yes",157,4,39.25,"no",NA,NA
35,2021-05-20,6.257,"1_before watering","no",4.03387,1,"elevated","drought","yes",280.5,3,93.5,"no",NA,NA
35,2021-05-24,5.934,"1_before watering","no",4.03387,1,"elevated","drought","yes",322.999999999999,4,80.7499999999999,"no",NA,NA
35,2021-05-27,5.656,"1_before watering","no",4.03387,1,"elevated","drought","yes",278,3,92.6666666666668,"no",NA,NA
41,2021-04-29,6.5085,"2_after watering","no",4.02709,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
41,2021-05-03,6.37183333333333,"1_before watering","no",4.02709,2,"ambient","drought","yes",128.666666666666,4,NA,"yes",32.1666666666666,NA
41,2021-05-03,6.5005,"2_after watering","no",4.02709,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
41,2021-05-06,6.404,"1_before watering","no",4.02709,2,"ambient","drought","yes",96.4999999999998,3,32.1666666666666,"no",32.1666666666666,NA
41,2021-05-06,6.561,"2_after watering","no",4.02709,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
41,2021-05-07,6.511,"1_before watering","no",4.02709,2,"ambient","drought","yes",49.9999999999998,1,49.9999999999998,"no",32.1666666666666,NA
41,2021-05-10,6.389,"1_before watering","no",4.02709,2,"ambient","drought","yes",122,3,40.6666666666666,"no",32.1666666666666,NA
41,2021-05-10,6.5875,"2_after watering","no",4.02709,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
41,2021-05-12,6.4905,"1_before watering","no",4.02709,2,"ambient","drought","yes",97.0000000000004,2,48.5000000000002,"no",32.1666666666666,NA
41,2021-05-12,6.675,"2_after watering","no",4.02709,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
41,2021-05-17,6.3415,"1_before watering","no",4.02709,2,"ambient","drought","yes",333.5,5,66.7,"no",32.1666666666666,NA
41,2021-05-20,6.092,"1_before watering","no",4.02709,2,"ambient","drought","yes",249.5,3,83.1666666666668,"no",32.1666666666666,NA
