id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
68,30/04/2021,6.7095,2_after watering,3.94431,1,elevated,control,yes
68,04/05/2021,6.4595,1_before watering,3.94431,1,elevated,control,yes
68,04/05/2021,6.808,2_after watering,3.94431,1,elevated,control,yes
68,07/05/2021,6.628,1_before watering,3.94431,1,elevated,control,yes
68,07/05/2021,6.803,2_after watering,3.94431,1,elevated,control,yes
68,10/05/2021,6.6505,1_before watering,3.94431,1,elevated,control,yes
68,10/05/2021,6.89,2_after watering,3.94431,1,elevated,control,yes
68,13/05/2021,6.6215,1_before watering,3.94431,1,elevated,control,yes
68,13/05/2021,6.808,2_after watering,3.94431,1,elevated,control,yes
68,17/05/2021,6.6185,1_before watering,3.94431,1,elevated,control,yes
68,17/05/2021,6.8285,2_after watering,3.94431,1,elevated,control,yes
68,20/05/2021,6.575,1_before watering,3.94431,1,elevated,control,yes
68,20/05/2021,NA,2_after watering,3.94431,1,elevated,control,yes
68,24/05/2021,6.6055,1_before watering,3.94431,1,elevated,control,yes
68,24/05/2021,6.838,2_after watering,3.94431,1,elevated,control,yes
68,27/05/2021,6.481,1_before watering,3.94431,1,elevated,control,yes
68,27/05/2021,6.8575,2_after watering,3.94431,1,elevated,control,yes
68,31/05/2021,6.394,1_before watering,3.94431,1,elevated,control,yes
68,31/05/2021,6.7765,2_after watering,3.94431,1,elevated,control,yes
68,01/06/2021,6.678,1_before watering,3.94431,1,elevated,control,yes
69,30/04/2021,7.1865,2_after watering,5.00776,1,elevated,drought,yes
69,04/05/2021,6.816,1_before watering,5.00776,1,elevated,drought,yes
69,04/05/2021,7.149,2_after watering,5.00776,1,elevated,drought,yes
69,07/05/2021,6.8945,1_before watering,5.00776,1,elevated,drought,yes
69,07/05/2021,7.2715,2_after watering,5.00776,1,elevated,drought,yes
69,10/05/2021,7.161,1_before watering,5.00776,1,elevated,drought,yes
69,10/05/2021,7.466,2_after watering,5.00776,1,elevated,drought,yes
69,13/05/2021,7.182,1_before watering,5.00776,1,elevated,drought,yes
69,13/05/2021,7.479,2_after watering,5.00776,1,elevated,drought,yes
69,17/05/2021,7.2565,1_before watering,5.00776,1,elevated,drought,yes
69,20/05/2021,6.947,1_before watering,5.00776,1,elevated,drought,yes
69,24/05/2021,6.63,1_before watering,5.00776,1,elevated,drought,yes
69,27/05/2021,6.3515,1_before watering,5.00776,1,elevated,drought,yes
75,29/04/2021,6.9595,2_after watering,4.8034,2,ambient,drought,yes
75,03/05/2021,NA,1_before watering,4.8034,2,ambient,drought,yes
75,03/05/2021,7,2_after watering,4.8034,2,ambient,drought,yes
75,06/05/2021,6.6715,1_before watering,4.8034,2,ambient,drought,yes
75,06/05/2021,7.026,2_after watering,4.8034,2,ambient,drought,yes
75,07/05/2021,6.946,1_before watering,4.8034,2,ambient,drought,yes
75,10/05/2021,6.5975,1_before watering,4.8034,2,ambient,drought,yes
75,10/05/2021,6.986,2_after watering,4.8034,2,ambient,drought,yes
75,12/05/2021,6.7295,1_before watering,4.8034,2,ambient,drought,yes
75,12/05/2021,7.094,2_after watering,4.8034,2,ambient,drought,yes
75,17/05/2021,6.5605,1_before watering,4.8034,2,ambient,drought,yes
75,20/05/2021,6.272,1_before watering,4.8034,2,ambient,drought,yes
75,24/05/2021,6.0045,1_before watering,4.8034,2,ambient,drought,yes
75,27/05/2021,5.8955,1_before watering,4.8034,2,ambient,drought,yes
77,29/04/2021,7.727,2_after watering,5.04364,2,ambient,drought,yes
77,03/05/2021,NA,1_before watering,5.04364,2,ambient,drought,yes
77,03/05/2021,7.707,2_after watering,5.04364,2,ambient,drought,yes
77,06/05/2021,7.51,1_before watering,5.04364,2,ambient,drought,yes
77,06/05/2021,7.782,2_after watering,5.04364,2,ambient,drought,yes
77,07/05/2021,7.697,1_before watering,5.04364,2,ambient,drought,yes
77,10/05/2021,7.505,1_before watering,5.04364,2,ambient,drought,yes
77,10/05/2021,7.8075,2_after watering,5.04364,2,ambient,drought,yes
77,12/05/2021,7.602,1_before watering,5.04364,2,ambient,drought,yes
77,12/05/2021,7.8805,2_after watering,5.04364,2,ambient,drought,yes
77,17/05/2021,7.479,1_before watering,5.04364,2,ambient,drought,yes
77,20/05/2021,7.2105,1_before watering,5.04364,2,ambient,drought,yes
77,24/05/2021,6.886,1_before watering,5.04364,2,ambient,drought,yes
77,27/05/2021,6.65,1_before watering,5.04364,2,ambient,drought,yes
77,31/05/2021,6.4375,1_before watering,5.04364,2,ambient,drought,yes
77,02/06/2021,6.3325,1_before watering,5.04364,2,ambient,drought,yes
80,29/04/2021,7.1895,2_after watering,4.68694,2,ambient,control,yes
